Order_ID,Order_Date,Customer_ID,Customer_Gender,Customer_Age,Product_Category,Product_Name,Quantity,Unit_Price,Total_Amount,Payment_Mode,Store_Location
O001,2024-06-04,C072,Female,62,Vegetables,Potato,3,117,351,UPI,Hyderabad
O002,2024-01-14,C046,Female,24,Beverages,Juice,1,136,136,Cash,Hyderabad
O003,2024-01-18,C088,Female,25,Beverages,Tea,2,124,248,UPI,Chennai
O004,2024-01-06,C046,Female,35,Snacks,Biscuits,4,118,472,UPI,Bangalore
O005,2024-05-29,C111,Female,48,Vegetables,Tomato,2,78,156,Card,Hyderabad
O006,2024-04-16,C112,Female,61,Snacks,Namkeen,5,113,565,UPI,Chennai
O007,2024-05-29,C005,Female,30,Snacks,Chips,1,30,30,Card,Bangalore
O008,2024-01-27,C040,Male,24,Fruits,Banana,3,85,255,UPI,Hyderabad
O009,2024-05-18,C120,Female,61,Beverages,Tea,1,98,98,Cash,Hyderabad
O010,2024-05-28,C071,Female,56,Dairy,Butter,3,103,309,Card,Bangalore
O011,2024-03-04,C088,Female,65,Dairy,Milk,1,47,47,Card,Bangalore
O012,2024-03-07,C096,Female,62,Vegetables,Potato,3,61,183,Card,Chennai
O013,2024-01-15,C098,Female,52,Dairy,Milk,3,37,111,UPI,Bangalore
O014,2024-01-29,C086,Female,43,Dairy,Butter,3,24,72,Card,Chennai
O015,2024-01-17,C037,Female,63,Dairy,Milk,3,133,399,Cash,Chennai
O016,2024-01-15,C002,Female,40,Dairy,Cheese,4,115,460,Cash,Bangalore
O017,2024-05-22,C076,Male,51,Vegetables,Tomato,2,44,88,UPI,Bangalore
O018,2024-02-14,C048,Male,49,Vegetables,Potato,4,150,600,Cash,Bangalore
O019,2024-06-18,C049,Male,32,Dairy,Cheese,3,109,327,Card,Chennai
O020,2024-03-31,C112,Female,44,Dairy,Cheese,1,32,32,Card,Chennai
O021,2024-06-18,C098,Male,58,Beverages,Soft Drink,5,147,735,UPI,Hyderabad
O022,2024-04-28,C103,Female,25,Fruits,Orange,4,91,364,Cash,Chennai
O023,2024-01-12,C032,Female,30,Snacks,Namkeen,2,145,290,Cash,Hyderabad
O024,2024-03-06,C066,Female,42,Dairy,Cheese,4,102,408,Card,Chennai
O025,2024-05-10,C019,Male,57,Dairy,Butter,2,51,102,Card,Bangalore
O026,2024-06-27,C068,Male,23,Dairy,Butter,5,89,445,Cash,Hyderabad
O027,2024-03-11,C041,Female,48,Snacks,Chips,5,56,280,UPI,Hyderabad
O028,2024-06-13,C028,Female,57,Fruits,Orange,4,71,284,Cash,Hyderabad
O029,2024-05-19,C081,Female,44,Dairy,Cheese,4,40,160,Card,Hyderabad
O030,2024-04-14,C048,Female,28,Vegetables,Onion,2,125,250,UPI,Chennai
O031,2024-06-16,C015,Female,54,Fruits,Banana,4,121,484,UPI,Chennai
O032,2024-03-05,C027,Male,50,Vegetables,Potato,1,40,40,UPI,Chennai
O033,2024-06-21,C069,Female,30,Beverages,Tea,4,38,152,Cash,Chennai
O034,2024-05-06,C020,Female,19,Beverages,Juice,4,115,460,Cash,Bangalore
O035,2024-02-23,C049,Female,38,Beverages,Juice,1,139,139,Cash,Bangalore
O036,2024-06-19,C076,Female,24,Beverages,Juice,4,121,484,UPI,Bangalore
O037,2024-05-24,C070,Male,32,Fruits,Banana,1,110,110,Card,Chennai
O038,2024-04-20,C112,Female,45,Dairy,Butter,2,38,76,Card,Bangalore
O039,2024-01-15,C080,Female,53,Fruits,Apple,3,38,114,UPI,Hyderabad
O040,2024-04-21,C015,Female,63,Dairy,Milk,3,85,255,UPI,Chennai
O041,2024-03-28,C076,Female,59,Beverages,Tea,4,128,512,Cash,Hyderabad
O042,2024-03-15,C091,Female,31,Beverages,Juice,2,92,184,UPI,Chennai
O043,2024-02-01,C087,Female,61,Snacks,Biscuits,5,57,285,Cash,Bangalore
O044,2024-04-08,C041,Male,59,Snacks,Namkeen,4,77,308,Cash,Hyderabad
O045,2024-04-30,C094,Female,58,Beverages,Soft Drink,3,52,156,UPI,Chennai
O046,2024-01-17,C002,Female,21,Vegetables,Tomato,2,90,180,Cash,Hyderabad
O047,2024-03-30,C043,Female,53,Snacks,Biscuits,4,58,232,Cash,Hyderabad
O048,2024-05-02,C048,Male,59,Dairy,Cheese,1,143,143,Card,Chennai
O049,2024-03-05,C068,Male,36,Snacks,Chips,5,72,360,Cash,Hyderabad
O050,2024-01-17,C014,Female,65,Dairy,Butter,5,64,320,Card,Hyderabad
O051,2024-04-07,C116,Male,47,Vegetables,Tomato,2,42,84,UPI,Hyderabad
O052,2024-01-30,C061,Female,30,Vegetables,Potato,2,23,46,Cash,Chennai
O053,2024-06-28,C016,Male,37,Vegetables,Onion,5,89,445,Card,Chennai
O054,2024-03-05,C047,Female,45,Vegetables,Tomato,4,48,192,Cash,Chennai
O055,2024-03-21,C093,Female,63,Snacks,Biscuits,1,36,36,Cash,Bangalore
